complete;Feature Importance;abs_score;complete
CAMKK2_rare_AR;0,285545792;0,285545792;8
PKHD1L1_rare_AR;0,277427229;0,277427229;10
TNFAIP2_rare_AR;-0,234358743;0,234358743;6
WDR27_rare_AR;0,140057956;0,140057956;6
DLX6_rare_AR;0,105081607;0,105081607;6
