"rules","support","confidence","coverage","lift","count","pvalue_test"
"{ALK_3=1,IBSP_4=1,MTHFD1_1_homo=1} => {grading=1}",0.0793650793650794,0.833333333333333,0.0952380952380952,1.65354330708661,20,4.46742937085718e-11
"{ALK_3=1,IBSP_4=1,C1orf109_1=1} => {grading=1}",0.0992063492063492,0.833333333333333,0.119047619047619,1.65354330708661,25,3.79438719254919e-08
"{ALK_3=1,PTPRU_1=1,FABP1_1=1} => {grading=1}",0.0793650793650794,0.833333333333333,0.0952380952380952,1.65354330708661,20,3.79438719254919e-08
"{FHOD3_3=1,MYO1H_1=1,BCAT2_1=1} => {grading=0}",0.0476190476190476,0.8,0.0595238095238095,1.6128,12,2.37654735374918e-10
"{FHOD3_3=1,LSR_1=1,MYO1H_1=1} => {grading=0}",0.0753968253968254,0.826086956521739,0.0912698412698413,1.66539130434783,19,1.83584681173469e-09
"{RNF212_1=1,PTPRU_1=1,FABP1_1=1} => {grading=1}",0.0674603174603175,0.80952380952381,0.0833333333333333,1.60629921259843,17,3.42668770552532e-09
"{RNF212_1=1,LRRC61_1=1,TP53_1_homo=1} => {grading=1}",0.0793650793650794,0.8,0.0992063492063492,1.58740157480315,20,8.41447447093663e-09
"{RNF212_1=1,FABP1_1=1,RMI1_1_homo=1} => {grading=1}",0.0634920634920635,0.8,0.0793650793650794,1.58740157480315,16,9.9419875651767e-15
"{RNF212_1=1,HEXD_1=1,FABP1_1=1} => {grading=1}",0.0873015873015873,0.846153846153846,0.103174603174603,1.67898243488795,22,2.79189834192596e-10
"{RNF212_1=1,CD52_1_homo=1,TP53_1_homo=1} => {grading=1}",0.0952380952380952,0.827586206896552,0.115079365079365,1.64213956014119,24,2.92668846286905e-12
"{EP300_1=1,FABP1_1=1,RMI1_1_homo=1} => {grading=1}",0.107142857142857,0.818181818181818,0.130952380952381,1.6234788833214,27,3.79438719254919e-08
"{PTPRU_1=1,HEXD_1=1,FABP1_1=1} => {grading=1}",0.0992063492063492,0.833333333333333,0.119047619047619,1.65354330708661,25,3.42668770552532e-09
"{HERC5_1=1,CD52_1_homo=1,CILP_3_homo=1} => {grading=1}",0.0992063492063492,0.833333333333333,0.119047619047619,1.65354330708661,25,3.79438719254919e-08
"{CHPT1_1=1,CHPT1_1_homo=1,COQ7_1_homo=1,RHBDF2_1_homo=1} => {grading=0}",0.0277777777777778,1,0.0277777777777778,2.016,7,6.31878750350325e-09
"{RBM11_1_homo=1,CHPT1_1_homo=1,COQ7_1_homo=1,RHBDF2_1_homo=1} => {grading=0}",0.0277777777777778,1,0.0277777777777778,2.016,7,6.31878750350325e-09
"{APOBEC1_1_homo=1,CHPT1_1_homo=1,COQ7_1_homo=1,RHBDF2_1_homo=1} => {grading=0}",0.0277777777777778,1,0.0277777777777778,2.016,7,6.31878750350325e-09
"{LSR_1=1,APOBEC1_1_homo=1,CHPT1_1_homo=1,COQ7_1_homo=1} => {grading=0}",0.0277777777777778,0.875,0.0317460317460317,1.764,7,6.31878750350325e-09
