"rules","support","confidence","coverage","lift","count","pvalue_test"
"{PLEKHA4_rare_AD=1,PAX4_1_homo=1} => {grading=0}",0.0509383378016086,0.826086956521739,0.0616621983914209,1.48139632107023,19,4.43424767435679e-10
"{SSC5D_3=1,ADAM15_2=1} => {grading=0}",0.0616621983914209,0.821428571428571,0.0750670241286863,1.47304258241758,23,6.87865905224722e-08
"{ADAM15_2=1,RRP12_1_homo=1} => {grading=0}",0.0536193029490617,0.8,0.0670241286863271,1.43461538461538,20,1.93591128199872e-14
"{PSAPL1_3=1,RRP12_1_homo=1} => {grading=0}",0.0697050938337802,0.8125,0.0857908847184987,1.45703125,26,1.89926407677451e-09
"{SSC5D_3=1,RRP12_1_homo=1} => {grading=0}",0.0804289544235925,0.810810810810811,0.0991957104557641,1.45400207900208,30,2.51981468452165e-11
"{SYT16_1=1,PPARGC1A_2=1,PNPT1_1=1} => {grading=0}",0.0536193029490617,0.8,0.0670241286863271,1.43461538461538,20,1.89390902864375e-08
"{SYT16_1=1,PPARGC1A_2=1,SLC25A5_1_hemi=1} => {grading=0}",0.0509383378016086,0.826086956521739,0.0616621983914209,1.48139632107023,19,1.89390902864375e-08
"{PPM1E_1=1,SYT16_1=1,PPARGC1A_2=1} => {grading=0}",0.0509383378016086,0.904761904761905,0.0563002680965147,1.62248168498168,19,1.89390902864375e-08
"{PLEKHH1_1=1,PSKH2_1=1,HNRNPA1L2_2=1} => {grading=1}",0.0536193029490617,0.8,0.0670241286863271,1.80848484848485,20,6.50245255110925e-09
"{MSH4_1=1,PLEKHH1_1=1,LY6D_1=1} => {grading=1}",0.0563002680965147,0.954545454545455,0.0589812332439678,2.15785123966942,21,6.50245255110925e-09
"{MSH4_1=1,PLEKHH1_1=1,SLC25A5_1_hemi=1} => {grading=1}",0.0563002680965147,0.807692307692308,0.0697050938337802,1.82587412587413,21,7.81306379085809e-08
"{UNC13A_1=1,DNASE1_1=1,COQ3_2=1} => {grading=1}",0.0509383378016086,0.95,0.0536193029490617,2.14757575757576,19,7.81306379085809e-08
"{ZZEF1_2=1,PNPT1_1=1,IBTK_1_hemi=1} => {grading=0}",0.064343163538874,0.857142857142857,0.0750670241286863,1.53708791208791,24,5.54970716074877e-08
"{KRTAP27.1_1=1,ZNF75A_1=1,ZZEF1_2=1} => {grading=0}",0.0536193029490617,0.8,0.0670241286863271,1.43461538461538,20,5.54970716074877e-08
"{TMPRSS15_3=1,CLDN16_1=1,ZZEF1_2=1} => {grading=0}",0.0589812332439678,0.846153846153846,0.0697050938337802,1.51738165680473,22,5.54970716074877e-08
"{CLDN16_1=1,ZZEF1_2=1,TRIM65_2=1} => {grading=0}",0.0563002680965147,0.84,0.0670241286863271,1.50634615384615,21,1.89926407677451e-09
"{TRAK1_1=1,PNPT1_1=1,PDILT_3=1} => {grading=0}",0.0509383378016086,0.826086956521739,0.0616621983914209,1.48139632107023,19,9.65770290887654e-12
"{TRAK1_1=1,RRP12_1_homo=1,TENT5D_1_hemi=1} => {grading=0}",0.0509383378016086,0.826086956521739,0.0616621983914209,1.48139632107023,19,1.89390902864375e-08
"{TRAK1_1=1,COG3_1_homo=1,TENT5D_1_hemi=1} => {grading=0}",0.0616621983914209,0.851851851851852,0.0723860589812332,1.52759971509972,23,1.89390902864375e-08
"{PPP1R26_1=1,TRAK1_1=1,MAGEB3_2_hemi=1} => {grading=0}",0.0509383378016086,0.863636363636364,0.0589812332439678,1.54873251748252,19,4.43424767435679e-10
"{HDLBP_1=1,TRAK1_1=1,MAGEB3_2_hemi=1} => {grading=0}",0.0536193029490617,0.8,0.0670241286863271,1.43461538461538,20,1.89926407677451e-09
