,gene,importance
0,MUC5AC_1,0.2606952576624833
1,MSH4_1,0.2247514758249796
2,TBPL2_1,0.22210310061205732
3,PPM1E_1,-0.21784825122062335
4,PPP1R26_1,-0.20609284109487772
5,N4BP2_1,-0.20216045338879657
6,CYP4F2_3,-0.1816820515590559
7,AURKA_1,-0.16903491152923525
8,MIA3_1,-0.1671598138585241
9,ADAM15_1,0.16176638828856535
10,TDRD5_3,0.1541816377928837
11,HDLBP_1,-0.15389178551386476
12,C5_1,0.14786242164526217
13,LRRC18_1,0.1461320219437425
14,SLC25A26_1,0.14006992133376997
15,HOXA4_3,0.13923285748024536
16,UNC13A_1,0.12903786456783142
17,ZFR_1,0.12605810187156705
18,DNAH6_1,-0.12298424107879048
19,MACC1_2,0.1218134606248886
20,SSC5D_3,-0.12083198695744296
21,THOC5_2,-0.1165545643094155
22,OR56A4_1,-0.1042837416072873
23,OR10H2_2,0.09984257474491118
24,TMPRSS15_3,-0.09649179470006958
25,GORAB_1,0.0959466576386921
26,ADAM15_2,-0.0919254030528295
27,SYT16_1,-0.08991185106548356
28,FYCO1_4,0.0898514987056878
29,IGHMBP2_2,-0.08800084941301708
30,DNASE1_1,0.0867182573258008
31,STON2_3,-0.08670881813612064
32,CHST13_2,0.0857151747399157
33,KRTAP27-1_1,-0.08545718923278213
34,PSAPL1_3,-0.0843019023332086
35,SHANK3_1,-0.08410994605021976
36,NLRP6_1,-0.08033859724205898
37,OSER1_1,-0.07993946381708818
38,HHLA1_2,-0.0776705238104296
39,AKAP10_1,-0.07276469944461124
40,RPAIN_1,0.07251855572185856
41,PLEKHH1_1,0.07148417735625574
42,OTOP2_1,0.07013719031705708
43,APOBR_1,0.07012645952248557
44,TFRC_1,0.06987210220645039
45,CRNN_1,0.06774247391504946
46,TTLL4_1,-0.06611788752646439
47,GCAT_2,0.06572583227199097
48,BNIPL_2,0.06426771652803182
49,OTOGL_1,-0.06405241435312826
50,LMO7_5,0.06321789457983347
51,FAM160B2_1,-0.06237145085944417
52,FAM166B_2,-0.058050945680706324
53,DGCR2_1,0.056532232607293946
54,MAML3_1,-0.056165413677175896
55,CPO_1,-0.05454627318922927
56,FGD2_1,0.05353140444114969
57,ANK3_2,-0.05299046814904348
58,MTERF4_2,0.05117760657241076
59,CWF19L2_1,-0.050306077942465215
60,FGD4_2,0.04899000631393689
61,MGA_1,-0.0479612773484155
62,CLDN16_1,-0.04681662737567682
63,FAM181B_2,0.04603800910656142
64,SPNS3_1,-0.04586793198751445
65,TRAK1_1,-0.045075995897826494
66,GMNC_1,0.04407608094450782
67,CASP8_1,0.04138867495762765
68,COQ3_2,0.04077494536007219
69,TLR3_1,0.03993805485893814
70,PPARGC1A_2,-0.03924396172940294
71,SWT1_2,-0.037680278651025655
72,LRRC43_1,0.03726864711071355
73,OSBPL5_1,-0.03692514729141165
74,CEP63_1,0.03593132582031138
75,HSDL1_1,-0.03582747896301833
76,FAM118A_1,0.03550861237575035
77,DAPK2_2,-0.03356672797751066
78,PSKH2_1,0.03141827892010366
79,HNRNPA1L2_2,0.03097685229004338
80,LRRFIP1_1,0.030397088108382958
81,ZNF75A_1,-0.028130893058769205
82,OR7A17_2,0.026061134678937784
83,ANXA11_2,-0.025808744221848916
84,ZZEF1_2,-0.024199668765055405
85,LY6D_1,0.022063552796640448
86,PCDHB15_2,0.022030398147316124
87,ITIH2_1,-0.021750916035648975
88,RBBP6_2,0.020633794740821908
89,PNPT1_1,-0.02028041566821375
90,TRIM65_2,-0.0196372613478504
91,AS3MT_1,-0.018212148651191827
92,ULBP3_1,-0.016109066448192252
93,HOXD4_1,-0.013610757693738222
94,MIA3_2,0.013068953187206057
95,ZNF451_1,0.012989107598639452
96,PDILT_3,-0.010940590278473591
97,LRP2_2,0.010353783710081343
98,DNAJB11_1,-0.010214496892086663
99,LINS1_3,-0.009933282865406077
100,LRRC24_1,0.009680027597808914
101,VWA3A_3,0.008940509523348527
102,PLEKHN1_1,0.007810076473317944
103,TEX14_2,-0.006691162751129209
104,C21orf58_2,-0.004688342595728184
105,C4orf36_1,0.004564635692759979
106,HOXA4_1,-0.003932682068708548
107,FBXW4_1,-0.003751099884127368
108,EFHC1_3,-0.0031262978018318827
109,CEP89_5,-0.0026090901363998204
110,SUN5_1,-0.0025677887624357566
111,SEC16A_1,-0.0012491325101406392
