,gene,importance
0,SELP_1_homo,0.29012815201095604
1,FSIP2_2_homo,-0.08678079861774804
2,RRM2_1_homo,-0.0679645119385115
3,HOXA4_1_homo,-0.0560405966480167
4,TMEM221_2_homo,-0.04883160324213449
5,DNAH12_3_homo,-0.04512505344556243
6,COG3_1_homo,-0.023959570456199914
7,PAX4_1_homo,-0.02143178675692121
8,RRP12_1_homo,-0.01950739015387443
9,IL17RC_1_homo,0.019122276632309598
10,GBP2_1_homo,0.013475787859980866
